(160, 90, 55, 60)
(740, 923, 33, 705)
(286, 645, 1, 368)
(407, 4, 2, 365)
(390, 718, 790, 2)
(705, 32, 595, 90)
(740, 765, 240, 1)
(740, 760, 511, 495)
(740, 390, 590, 231)
(140, 165, 740, 176)
(740, 900, 3, 806)
(151, 382, 31, 2)
(740, 388, 220, 4)
(740, 175, 415, 33)
(151, 156, 2, 252)
(740, 390, 590, 2)
(740, 32, 55, 1)
(832, 904, 740, 444)
(390, 590, 32, 2)
(127, 381, 292, 590)
(97, 159, 33, 705)
(520, 233, 803, 2)
(740, 803, 231, 60)
(740, 388, 235, 240)
(520, 175, 2, 295)
(740, 384, 2, 390)
(682, 413, 840, 61)
(226, 32, 798, 742)
(740, 645, 3, 741)
(740, 717, 233, 220)
(740, 269, 511, 233)
(740, 585, 231, 240)
(405, 61, 70, 32)
(520, 920, 320, 220)
(520, 33, 706, 235)
(682, 413, 740, 61)
(740, 904, 240, 2)
(740, 752, 70, 255)
(390, 5, 2, 455)
(740, 585, 17, 2)
(740, 42, 741, 60)
(861, 920, 220, 16)
(740, 904, 220, 32)
(700, 33, 711, 335)
(740, 94, 220, 32)
(740, 920, 318, 700)
(405, 4, 1, 2)
(740, 639, 240, 2)
(520, 33, 705, 60)
(740, 585, 240, 220)
(740, 405, 590, 220)
(740, 773, 2, 900)
(241, 156, 590, 706)
(740, 752, 6, 503)
(871, 740, 740, 798)
(740, 923, 803, 741)
(740, 760, 268, 233)
(740, 923, 406, 61)
(520, 240, 2, 405)
(527, 555, 55, 233)
(90, 740, 220, 742)
(740, 806, 240, 2)
(224, 740, 61, 2)
(520, 70, 921, 742)
(740, 336, 176, 2)
(740, 100, 175, 630)
(129, 817, 310, 350)
(400, 740, 923, 226)
(740, 100, 415, 904)
(32, 316, 33, 705)
(700, 33, 900, 645)
(390, 3, 2, 111)
(740, 384, 32, 803)
(740, 760, 705, 2)
(400, 520, 33, 705)
(450, 617, 33, 460)
(151, 337, 484, 2)
(861, 892, 220, 2)
(161, 233, 220, 32)
(740, 760, 1, 220)
(740, 575, 17, 31)
(740, 215, 2, 368)
(416, 590, 832, 741)
(821, 1, 480, 850)
(740, 100, 692, 491)
(700, 90, 740, 362)
(394, 32, 2, 892)
(850, 453, 64, 1)
(90, 740, 717, 770)
(520, 220, 415, 519)
(740, 100, 585, 741)
(400, 151, 336, 630)
(690, 323, 690, 60)
(406, 371, 220, 415)
(520, 233, 240, 60)
(871, 400, 740, 543)
(154, 806, 471, 407)
(740, 140, 717, 2)
(617, 142, 384, 32)
(416, 1, 740, 720)
(411, 440, 236, 220)
(740, 900, 850, 407)
(90, 740, 231, 560)
(405, 845, 686, 740)
(740, 760, 235, 2)
(390, 920, 322, 803)
(740, 405, 590, 235)
(90, 740, 100, 415)
(390, 3, 2, 125)
(740, 222, 2, 207)
(740, 900, 5, 741)
(368, 1, 550, 543)
(527, 550, 233, 2)
(740, 615, 104, 2)
(457, 165, 900, 60)
(232, 240, 741, 60)
(740, 32, 840, 233)
(390, 128, 701, 226)
(520, 220, 4, 2)
(159, 243, 1, 740)
(226, 240, 235, 60)
(90, 740, 35, 171)
(740, 100, 415, 176)
(740, 100, 415, 745)
(317, 740, 335, 740)
(520, 33, 706, 240)
(390, 697, 151, 740)
(740, 455, 235, 798)
(740, 482, 235, 2)
(892, 590, 794, 732)
(90, 740, 2, 861)
(740, 798, 231, 60)
(740, 17, 495, 235)
(817, 900, 241, 368)
(390, 17, 2, 220)
(32, 31, 740, 240)
(520, 33, 705, 220)
(679, 740, 220, 415)
(953, 817, 390, 125)
(368, 33, 705, 31)
(520, 220, 803, 741)
(740, 390, 590, 1)
(350, 1, 740, 362)
(740, 390, 590, 904)
(740, 100, 415, 927)
(920, 706, 193, 384)
(527, 555, 33, 706)
(72, 170, 740, 840)
(740, 690, 435, 176)
(740, 31, 504, 235)
(32, 840, 221, 150)
(520, 220, 240, 803)
(740, 407, 590, 220)
(740, 67, 741, 647)
(621, 390, 531, 2)
(740, 100, 240, 233)
(740, 752, 440, 220)
(740, 100, 415, 798)
(688, 100, 240, 233)
(740, 604, 142, 2)
(527, 550, 803, 2)
(740, 338, 605, 176)
(741, 32, 840, 740)
(617, 55, 435, 255)
(740, 760, 519, 240)
(405, 3, 2, 293)
(740, 390, 590, 60)
(740, 100, 176, 838)
(892, 70, 590, 495)
(740, 923, 235, 742)
(494, 615, 179, 100)
(679, 740, 575, 17)
(740, 798, 240, 235)
(740, 798, 233, 741)
(400, 90, 740, 400)
(527, 550, 240, 220)
(740, 205, 32, 2)
(173, 520, 235, 60)
(740, 16, 2, 920)
(740, 440, 220, 32)
(390, 844, 741, 31)
(161, 55, 240, 220)
(740, 460, 510, 235)
(31, 840, 140, 740)
(527, 555, 231, 240)
(740, 269, 792, 741)
