(856, 260, 832)
(234, 803, 741)
(740, 100, 806)
(740, 803, 233)
(622, 740, 368)
(740, 100, 798)
(390, 95, 909)
(226, 3, 2)
(861, 520, 220)
(368, 1, 550)
(871, 400, 740)
(90, 740, 760)
(416, 1, 520)
(740, 690, 435)
(527, 550, 240)
(850, 453, 64)
(817, 740, 740)
(390, 840, 233)
(740, 626, 176)
(740, 760, 49)
(90, 740, 400)
(740, 879, 220)
(151, 390, 590)
(390, 697, 151)
(390, 700, 790)
(740, 760, 268)
(740, 585, 798)
(1, 368, 861)
(527, 554, 1)
(740, 585, 17)
(861, 892, 692)
(407, 845, 140)
(520, 240, 740)
(411, 440, 236)
(712, 840, 400)
(700, 33, 400)
(324, 255, 1)
(520, 70, 220)
(740, 803, 220)
(32, 316, 33)
(31, 850, 140)
(861, 920, 220)
(740, 760, 220)
(289, 350, 590)
(405, 845, 686)
(520, 400, 350)
(159, 243, 1)
(405, 32, 900)
(740, 923, 220)
(154, 806, 471)
(520, 220, 31)
(740, 482, 55)
(32, 840, 267)
(740, 100, 692)
(407, 32, 520)
(740, 176, 390)
(151, 790, 31)
(742, 406, 482)
(679, 740, 220)
(617, 831, 2)
(33, 33, 368)
(688, 100, 240)
(407, 4, 2)
(740, 923, 240)
(520, 233, 220)
(740, 923, 70)
(520, 240, 2)
(137, 3, 1)
(226, 491, 742)
(740, 760, 921)
(140, 165, 740)
(850, 140, 803)
(740, 336, 2)
(740, 384, 32)
(405, 240, 740)
(407, 63, 845)
(740, 717, 233)
(241, 220, 32)
(33, 832, 236)
(740, 680, 90)
(90, 740, 32)
(740, 176, 31)
(241, 156, 590)
(65, 599, 706)
(32, 740, 791)
(740, 773, 2)
(406, 371, 220)
(700, 32, 702)
(173, 520, 235)
(740, 798, 220)
(740, 455, 176)
(400, 202, 892)
(740, 639, 240)
(32, 740, 222)
(921, 725, 740)
(450, 617, 33)
(520, 220, 3)
(740, 205, 32)
(520, 240, 741)
(520, 315, 2)
(151, 760, 220)
(740, 482, 803)
(892, 890, 417)
(400, 740, 405)
(426, 3, 2)
(740, 752, 17)
(390, 718, 790)
(407, 585, 33)
(679, 740, 176)
(440, 390, 368)
(740, 904, 233)
(740, 729, 407)
(740, 615, 495)
(874, 543, 350)
(33, 711, 335)
(817, 220, 632)
(700, 32, 690)
(390, 5, 2)
(32, 31, 32)
(740, 798, 803)
(820, 302, 596)
(423, 3, 1)
(90, 740, 220)
(167, 705, 368)
(858, 100, 585)
(97, 159, 33)
(740, 794, 630)
(690, 323, 690)
(740, 405, 590)
(817, 900, 241)
(740, 798, 231)
(740, 923, 235)
(32, 400, 740)
(874, 543, 520)
(151, 156, 2)
(527, 550, 740)
(527, 555, 33)
(2, 4, 328)
(740, 585, 900)
(740, 803, 2)
(65, 798, 706)
(32, 840, 221)
(740, 740, 1)
(390, 820, 460)
(700, 33, 711)
(741, 315, 850)
(621, 520, 220)
(904, 4, 821)
(368, 501, 821)
(226, 240, 235)
(817, 521, 90)
(740, 923, 33)
(90, 850, 32)
(400, 740, 798)
(400, 241, 31)
(151, 31, 90)
(407, 16, 1)
(740, 812, 33)
(740, 760, 820)
(851, 740, 705)
(679, 740, 575)
(740, 33, 711)
(682, 413, 740)
(820, 595, 32)
(791, 575, 740)
(154, 806, 468)
(390, 3, 2)
(520, 220, 415)
(740, 388, 220)
(520, 33, 706)
(520, 220, 32)
(154, 31, 1)
(700, 740, 690)
(740, 100, 1)
(740, 165, 900)
(400, 740, 690)
(740, 803, 892)
(298, 465, 33)
(817, 740, 194)
(700, 90, 740)
(740, 142, 61)
(740, 440, 231)
(740, 752, 460)
(861, 892, 220)
(405, 5, 1)
(700, 33, 740)
(892, 590, 894)
(740, 760, 72)
(236, 240, 33)
(740, 335, 233)
(740, 760, 335)
(520, 70, 255)
(740, 222, 2)
(408, 32, 520)
(621, 390, 531)
(740, 61, 2)
(740, 176, 1)
(1, 820, 595)
(400, 740, 335)
(154, 806, 472)
(416, 1, 565)
(740, 255, 705)
(595, 820, 100)
(740, 752, 1)
(400, 525, 550)
(527, 550, 741)
(1, 740, 923)
(400, 740, 904)
(817, 521, 521)
(740, 798, 460)
(740, 752, 175)
(165, 741, 31)
(700, 33, 151)
(740, 705, 171)
(33, 740, 142)
(390, 4, 2)
(390, 844, 240)
(457, 165, 900)
(740, 384, 90)
(740, 100, 233)
(527, 555, 740)
(700, 34, 100)
(700, 400, 807)
(740, 772, 240)
(861, 495, 368)
(32, 151, 740)
(740, 900, 790)
(700, 32, 740)
(842, 32, 31)
(740, 877, 32)
(740, 400, 142)
(740, 904, 220)
(565, 740, 798)
(156, 3, 60)
(740, 861, 877)
(742, 740, 482)
(740, 760, 840)
(740, 55, 2)
(520, 233, 49)
(257, 955, 32)
(621, 740, 798)
(390, 844, 60)
(865, 685, 32)
(930, 220, 60)
(740, 100, 415)
(125, 435, 255)
(416, 1, 740)
(400, 297, 352)
(158, 806, 468)
(740, 176, 220)
(590, 615, 232)
(740, 752, 440)
(740, 904, 33)
(740, 927, 32)
(605, 740, 142)
(740, 384, 2)
(426, 3, 1)
(520, 70, 219)
(740, 773, 231)
(520, 70, 33)
(740, 175, 415)
(394, 32, 2)
(700, 34, 690)
(740, 798, 745)
(740, 752, 70)
(520, 233, 240)
(617, 142, 1)
(520, 382, 32)
(920, 706, 193)
(151, 350, 2)
(740, 900, 482)
(60, 740, 269)
(740, 55, 33)
(617, 243, 741)
(740, 460, 741)
(215, 1, 480)
(90, 740, 103)
(700, 740, 702)
(590, 615, 140)
(520, 70, 233)
(215, 31, 480)
(151, 740, 760)
(390, 920, 322)
(740, 798, 233)
(90, 740, 792)
(130, 32, 820)
(151, 382, 31)
(151, 243, 31)
(740, 717, 240)
(740, 16, 2)
(151, 337, 484)
(72, 170, 740)
(527, 555, 231)
(740, 482, 1)
(621, 740, 2)
(892, 70, 590)
(390, 128, 701)
(494, 615, 179)
(740, 176, 32)
(400, 760, 740)
(740, 503, 235)
(892, 590, 794)
(842, 871, 192)
(33, 413, 893)
(740, 100, 175)
(740, 760, 61)
(527, 550, 803)
(319, 690, 255)
(740, 760, 440)
(740, 560, 233)
(161, 390, 590)
(740, 904, 240)
(700, 33, 900)
(740, 460, 503)
(400, 740, 920)
(526, 555, 235)
(740, 630, 155)
(740, 900, 850)
(405, 4, 1)
(384, 575, 706)
(520, 70, 921)
(400, 740, 760)
(740, 455, 235)
(909, 5, 4)
(520, 33, 705)
(161, 233, 220)
(407, 4, 1)
(400, 740, 176)
(700, 388, 134)
(415, 798, 2)
(740, 760, 1)
(892, 374, 740)
(409, 190, 2)
(565, 31, 416)
(740, 140, 717)
(740, 773, 240)
(90, 740, 231)
(400, 740, 923)
(400, 740, 840)
(405, 844, 32)
(740, 31, 904)
(740, 806, 240)
